,program_code,program_name,Unnamed: 0,YEAR,SEMESTER,term,CatalogYear,catalog_id,Title,credits,Prereqs,Coreqs,Fees,Attributes,Description
180,SL,TESOL and Bilingual Education,6897,2014.0,Fall,Fall2014,2014_2015,SL 0436,TESOL Methods and Materials Development,,,,,,
181,SL,TESOL and Bilingual Education,8578,2015.0,Summer,Summer2015,2014_2015,SL 0439,Methods of Foreign Language Teaching for Elementary School,,,,,,
182,SL,TESOL and Bilingual Education,1999,2015.0,Spring,Spring2015,2014_2015,SL 0441,Teaching and Learning within Multicultural Contexts of Education,,,,,,
183,SL,TESOL and Bilingual Education,6899,2015.0,Spring,Spring2015,2014_2015,SL 0451,Infusing Content Language Instruction into TESOL/Bilingual Programs,,,,,,
184,SL,TESOL and Bilingual Education,6888,2015.0,Spring,Spring2015,2014_2015,SL 0467,Language Acquisition,,,,,,
185,SL,TESOL and Bilingual Education,7780,2015.0,Spring,Spring2015,2014_2015,SL 0475,Sociolinguistics,,,,,,
186,SL,TESOL and Bilingual Education,6891,2015.0,Summer,Summer2015,2014_2015,SL 0477,Culture and Second Language Acquisition,,,,,,
187,SL,TESOL and Bilingual Education,8269,2015.0,Spring,Spring2015,2014_2015,SL 0504,The English Language Learner in the Regular Classroom,,,,,,
188,SL,TESOL and Bilingual Education,6901,2015.0,Summer,Summer2015,2014_2015,SL 0522,Emergent Literacy in Bilingual Early Childhood Education,,,,,,
189,SL,TESOL and Bilingual Education,6872,2014.0,Fall,Fall2014,2014_2015,SL 0527,Testing and Assessment in TESOL and Bilingual Programs,,,,,,
190,SL,TESOL and Bilingual Education,6871,2014.0,Fall,Fall2014,2014_2015,SL 0582,TESOL/Bilingual Student Teaching and DSAP I Seminar,,,,,,
191,SL,TESOL and Bilingual Education,6882,2014.0,Fall,Fall2014,2014_2015,SL 0590,CAS Advanced Practicum,,,,,,
192,SW,Software Engineering,6493,2015.0,Spring,Spring2015,2014_2015,SW 0131,Fundamentals of Programming,,,,,,
193,SW,Software Engineering,6423,2014.0,Fall,Fall2014,2014_2015,SW 0151,Intro to Comp Game Modeling,,,,,,
194,SW,Software Engineering,6426,2014.0,Fall,Fall2014,2014_2015,SW 0201,Software Engineering Methods,,,,,,
195,SW,Software Engineering,6424,2014.0,Fall,Fall2014,2014_2015,SW 0202,Software Design Methods,,,,,,
196,SW,Software Engineering,6453,2014.0,Fall,Fall2014,2014_2015,SW 0204,Software Project Management,,,,,,
197,SW,Software Engineering,6526,2015.0,Spring,Spring2015,2014_2015,SW 0205,Software Testing & Maintenance,,,,,,
198,SW,Software Engineering,6465,2014.0,Fall,Fall2014,2014_2015,SW 0232,Advanced Programming and Data Structures,,,,,,
199,SW,Software Engineering,6429,2014.0,Fall,Fall2014,2014_2015,SW 0304,Web Development,,,,,,
200,SW,Software Engineering,6478,2015.0,Spring,Spring2015,2014_2015,SW 0327,Operating Sys & Programming,,,,,,
201,SW,Software Engineering,6469,2014.0,Fall,Fall2014,2014_2015,SW 0355,Database Management Systems,,,,,,
202,SW,Software Engineering,6486,2014.0,Fall,Fall2014,2014_2015,SW 0382C,Special Topics: Android Applications,,,,,,
203,SW,Software Engineering,6468,2015.0,Spring,Spring2015,2014_2015,SW 0399,Algorithms,,,,,,
204,SW,Software Engineering,6427,2014.0,Fall,Fall2014,2014_2015,SW 0400,Software Engineering Methods,,,,,,
205,SW,Software Engineering,6425,2014.0,Fall,Fall2014,2014_2015,SW 0401,Software Design Methods,,,,,,
206,SW,Software Engineering,6470,2014.0,Fall,Fall2014,2014_2015,SW 0402,Database Management Systems,,,,,,
207,SW,Software Engineering,6510,2014.0,Fall,Fall2014,2014_2015,SW 0404,Network Concepts,,,,,,
208,SW,Software Engineering,6428,2014.0,Fall,Fall2014,2014_2015,SW 0406,Web Client Side Development I,,,,,,
209,SW,Software Engineering,2299,2014.0,Fall,Fall2014,2014_2015,SW 0407,Java for Programmers,,,,,,
210,SW,Software Engineering,6516,2014.0,Fall,Fall2014,2014_2015,SW 0409,Advanced Programming in Java,,,,,,
211,SW,Software Engineering,8479,2015.0,Spring,Spring2015,2014_2015,SW 0410,Enterprise Java,,,,,,
212,SW,Software Engineering,6527,2015.0,Spring,Spring2015,2014_2015,SW 0420,Software Testing and Maintenance,,,,,,
213,SW,Software Engineering,6454,2014.0,Fall,Fall2014,2014_2015,SW 0421,Software Project Management,,,,,,
214,SW,Software Engineering,6479,2015.0,Spring,Spring2015,2014_2015,SW 0427,Operating Systems and Programming,,,,,,
215,SW,Software Engineering,6545,2015.0,Summer,Summer2015,2014_2015,SW 0448,Server Management,,,,,,
216,SW,Software Engineering,6487,2014.0,Fall,Fall2014,2014_2015,SW 0482C,Special Topics: Android Applications,,,,,,
217,SW,Software Engineering,6520,2014.0,Fall,Fall2014,2014_2015,SW 0505,Advanced Database Concepts,,,,,,
218,SW,Software Engineering,6458,2015.0,Spring,Spring2015,2014_2015,SW 0506,Visual C# for Programmers II,,,,,,
219,SW,Software Engineering,6459,2015.0,Spring,Spring2015,2014_2015,SW 0512,Web Development II with ASP.net,,,,,,
220,SW,Software Engineering,6496,2014.0,Fall,Fall2014,2014_2015,SW 0516,High Performance Database Web Applications,,,,,,
221,SW,Software Engineering,7729,2015.0,Spring,Spring2015,2014_2015,SW 0518,Data Mining and Business Intelligence,,,,,,
222,SW,Software Engineering,6537,2015.0,Spring,Spring2015,2014_2015,SW 0530,Introduction to Information Security,,,,,,
223,SW,Software Engineering,6495,2014.0,Fall,Fall2014,2014_2015,SW 0550,Capstone Professional Project I,,,,,,
224,SW,Software Engineering,6502,2015.0,Spring,Spring2015,2014_2015,SW 0551,Capstone Professional Project II,,,,,,
225,SW,Software Engineering,6511,2014.0,Fall,Fall2014,2014_2015,SW 0596,Network Routing and Switching,,,,,,
226,SW,Software Engineering,6534,2014.0,Fall,Fall2014,2014_2015,SW 0599,Information Security Measures and Countermeasures,,,,,,
227,SA,Studio Art,6798,2014.0,Fall,Fall2014,2014_2015,SA 0010,Foundation: Interpreting the Self,,,,,,
228,SA,Studio Art,6808,2014.0,Fall,Fall2014,2014_2015,SA 0011,"Foundation: Structure, Space, and Environment",,,,,,
229,SA,Studio Art,6820,2014.0,Fall,Fall2014,2014_2015,SA 0012,Foundation: Drawing,,,,,,
230,SA,Studio Art,6836,2014.0,Fall,Fall2014,2014_2015,SA 0013,Foundation:Figure Drawing,,,,,,
231,SA,Studio Art,6797,2014.0,Fall,Fall2014,2014_2015,SA 0105,Color Workshop,,,,,,
232,SA,Studio Art,6837,2014.0,Fall,Fall2014,2014_2015,SA 0130,Painting I,,,,,,
