,YEAR,SEMESTER,term,CatalogYear,Catalog_ID,program_name,program_code,Title,credits,Prereqs,Coreqs,Fees,Attributes,Description
2302,2015.0,Fall,Fall2015,2015_2016,ECE 0508,,,Engineering Entrepreneurship,,,,,,
1990,2015.0,Fall,Fall2015,2015_2016,ED 0200,,,"Explorations in Education: Introduction to Teaching, Learning, and Schooling",,,,,,
2023,2015.0,Fall,Fall2015,2015_2016,ED 0241,,,Educational Psychology,,,,,,
1991,2015.0,Fall,Fall2015,2015_2016,ED 0329,,,Philosophy of Education: An Introduction,,,,,,
8407,2016.0,Spring,Spring2016,2015_2016,ED 0350,,,Special Learners in the Mainstream,,,,,,
7165,2015.0,Fall,Fall2015,2015_2016,ED 0401,,,K-12 Teaching Internship Seminar for Initital Certification Candidates,,,,,,
8350,2016.0,Summer,Summer2016,2015_2016,ED 0405,,,Contexts of Education in the Primary Grades,,,,,,
2041,2016.0,Spring,Spring2016,2015_2016,ED 0429,,,Philosophical Foundations of Education,,,,,,
2070,2016.0,Spring,Spring2016,2015_2016,ED 0431,,,Extending Literacy in the Elementary School: Grades 3-6,,,,,,
2065,2015.0,Fall,Fall2015,2015_2016,ED 0437,,,Developing Literacy in the Elementary School: Primary Grades,,,,,,
2002,2016.0,Spring,Spring2016,2015_2016,ED 0441,,,Teaching and Learning within Multicultural Contexts of Education,,,,,,
2024,2015.0,Fall,Fall2015,2015_2016,ED 0442,,,Educational Psychology,,,,,,
2067,2015.0,Fall,Fall2015,2015_2016,ED 0447,,,Learning Mathematics in the Elementary Classroom,,,,,,
7182,2015.0,Fall,Fall2015,2015_2016,ED 0455,,,LiterateLearner:Crit/Strategic,,,,,,
2091,2016.0,Spring,Spring2016,2015_2016,ED 0459,,,Developmental Reading in the Secondary School,,,,,,
7187,2015.0,Fall,Fall2015,2015_2016,ED 0462,,,Science Methods,,,,,,
2111,2015.0,Fall,Fall2015,2015_2016,ED 0463,,,World Language Methods,,,,,,
2081,2015.0,Fall,Fall2015,2015_2016,ED 0466,,,Special Methods in Secondary School English,,,,,,
2055,2015.0,Fall,Fall2015,2015_2016,ED 0468,,,Social Studies/History Methods,,,,,,
2076,2016.0,Summer,Summer2016,2015_2016,ED 0497,,,Teaching Science in the Elementary Classroom,,,,,,
7172,2016.0,Summer,Summer2016,2015_2016,ED 0499,,,Introduction to Educational Research,,,,,,
2019,2016.0,Summer,Summer2016,2015_2016,ED 0511,,,Educating for Social Responsibility and Civic Engagement: A Capstone Seminar,,,,,,
2058,2016.0,Spring,Spring2016,2015_2016,ED 0512,,,Contemporary Schooling in Society,,,,,,
2119,2015.0,Fall,Fall2015,2015_2016,ED 0515,,,Economic and Physical Geography,,,,,,
1989,2015.0,Fall,Fall2015,2015_2016,ED 0530,,,Assessment and Differentiated Instruction,,,,,,
2131,2015.0,Fall,Fall2015,2015_2016,ED 0534,,,Theories of Learning,,,,,,
7181,2015.0,Fall,Fall2015,2015_2016,ED 0545,,,Developing Integrated Curriculum for Elementary Students: Inquiry and Action,,,,,,
2001,2016.0,Spring,Spring2016,2015_2016,ED 0552,,,Participatory Research and Advocacy in School and Community Settings,,,,,,
