,program_code,program_name,Unnamed: 0,YEAR,SEMESTER,term,CatalogYear,catalog_id,Title,credits,Prereqs,Coreqs,Fees,Attributes,Description
203,SW,Software Engineering,6456,2015.0,Fall,Fall2015,2015_2016,SW 0204,Software Project Management,,,,,,
204,SW,Software Engineering,6450,2016.0,Spring,Spring2016,2015_2016,SW 0205,Software Testing and Maintenance,,,,,,
205,SW,Software Engineering,6435,2015.0,Fall,Fall2015,2015_2016,SW 0304,Web Development,,,,,,
206,SW,Software Engineering,6488,2015.0,Fall,Fall2015,2015_2016,SW 0305,Mobile Application Development,,,,,,
207,SW,Software Engineering,6512,2015.0,Fall,Fall2015,2015_2016,SW 0314,Network Concepts,,,,,,
208,SW,Software Engineering,6472,2015.0,Fall,Fall2015,2015_2016,SW 0355,Database Management Systems,,,,,,
209,SW,Software Engineering,6433,2015.0,Fall,Fall2015,2015_2016,SW 0400,Software Engineering Methods,,,,,,
210,SW,Software Engineering,6431,2015.0,Fall,Fall2015,2015_2016,SW 0401,Software Design Methods,,,,,,
211,SW,Software Engineering,6473,2015.0,Fall,Fall2015,2015_2016,SW 0402,Database Management Systems,,,,,,
212,SW,Software Engineering,6513,2015.0,Fall,Fall2015,2015_2016,SW 0404,Network Concepts,,,,,,
213,SW,Software Engineering,6434,2015.0,Fall,Fall2015,2015_2016,SW 0406,Web Client Side Development I,,,,,,
214,SW,Software Engineering,6455,2015.0,Fall,Fall2015,2015_2016,SW 0407,Java for Programmers,,,,,,
215,SW,Software Engineering,6521,2015.0,Fall,Fall2015,2015_2016,SW 0409,Advanced Programming in Java,,,,,,
216,SW,Software Engineering,6489,2015.0,Fall,Fall2015,2015_2016,SW 0416,Mobile Application Development,,,,,,
217,SW,Software Engineering,6451,2016.0,Spring,Spring2016,2015_2016,SW 0420,Software Testing and Maintenance,,,,,,
218,SW,Software Engineering,6457,2015.0,Fall,Fall2015,2015_2016,SW 0421,Software Project Management,,,,,,
219,SW,Software Engineering,6483,2016.0,Spring,Spring2016,2015_2016,SW 0427,Operating Systems and Programming,,,,,,
220,SW,Software Engineering,6505,2016.0,Spring,Spring2016,2015_2016,SW 0499,Algorithms,,,,,,
221,SW,Software Engineering,7725,2015.0,Fall,Fall2015,2015_2016,SW 0508,Data Warehouse Systems,,,,,,
222,SW,Software Engineering,6460,2016.0,Spring,Spring2016,2015_2016,SW 0512,Web Development II with ASP.net,,,,,,
223,SW,Software Engineering,6500,2015.0,Fall,Fall2015,2015_2016,SW 0516,PHP/MySQL,,,,,,
224,SW,Software Engineering,7731,2016.0,Spring,Spring2016,2015_2016,SW 0518,Data Mining and Business Intelligence,,,,,,
225,SW,Software Engineering,6538,2016.0,Spring,Spring2016,2015_2016,SW 0530,Introduction to Information Security,,,,,,
226,SW,Software Engineering,6498,2015.0,Fall,Fall2015,2015_2016,SW 0550,Capstone Professional Project I,,,,,,
227,SW,Software Engineering,6499,2015.0,Fall,Fall2015,2015_2016,SW 0551,Capstone Professional Project II,,,,,,
228,SW,Software Engineering,6515,2016.0,Spring,Spring2016,2015_2016,SW 0596,Network Routing and Switching,,,,,,
229,SW,Software Engineering,6536,2015.0,Fall,Fall2015,2015_2016,SW 0599,Information Security Measures and Countermeasures,,,,,,
230,SA,Studio Art,6810,2015.0,Fall,Fall2015,2015_2016,SA 0011,Foundation Sculpture: Specific Objects,,,,,,
231,SA,Studio Art,6823,2015.0,Fall,Fall2015,2015_2016,SA 0012,Foundation: Drawing,,,,,,
232,SA,Studio Art,6839,2015.0,Fall,Fall2015,2015_2016,SA 0013,Foundation:Figure Drawing,,,,,,
